🕘️更新时间,#genre#
江西卫视,http://171.83.103.119:9999/rtp/239.69.1.126:10394
江西卫视,http://36.36.200.198:44330/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://sun135790.x3322.net:9901/tsfile/live/16044_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://satellitepull.cnr.cn/live/wxlnws/playlist.m3u8
辽宁卫视,http://171.83.103.119:9999/rtp/239.69.1.71:10066
辽宁卫视,http://36.36.200.198:44330/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://sun135790.x3322.net:9901/tsfile/live/16032_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://satellitepull.cnr.cn/live/wx32hljws/playlist.m3u8
黑龙江卫视,http://171.83.103.119:9999/rtp/239.254.96.138:8902
内蒙古卫视,http://satellitepull.cnr.cn/live/wx32nmgws/playlist.m3u8
宁夏卫视,http://satellitepull.cnr.cn/live/wxnxws/playlist.m3u8
宁夏卫视,http://171.83.103.119:9999/rtp/239.69.2.33:11352
青海卫视,http://satellitepull.cnr.cn/live/wx32qhws/playlist.m3u8
青海卫视,http://171.83.103.119:9999/rtp/239.69.2.24:11298
山东卫视,http://shuangyashan.coccc.online:65000/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://112.254.55.106:22222/rtp/239.253.254.78:8000
山东卫视,http://171.83.103.119:9999/rtp/239.69.1.69:10054
山西卫视,http://satellitepull.cnr.cn/live/wxssxws/playlist.m3u8
陕西卫视,http://satellitepull.cnr.cn/live/wxsxxws/playlist.m3u8
四川卫视,http://sun135790.x3322.net:9901/tsfile/live/16040_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://171.83.103.119:9999/rtp/239.69.1.169:10650
四川卫视,http://171.83.103.119:9999/rtp/239.69.1.28:9808
天津卫视,http://39.152.103.17:8089/tsfile/live/1035_1.m3u8
西藏卫视,http://satellitepull.cnr.cn/live/wxxzws/playlist.m3u8
西藏卫视,http://171.83.103.119:9999/rtp/239.69.2.31:11340
新疆卫视,http://satellitepull.cnr.cn/live/wxxjws/playlist.m3u8
云南卫视,http://satellitepull.cnr.cn/live/wxynws/playlist.m3u8
云南卫视,http://171.83.103.119:9999/rtp/239.69.2.25:11304
延边卫视,http://satellitepull.cnr.cn/live/wxybws/playlist.m3u8
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8

🔆超清频道🔆,#genre#
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
深圳卫视4K,http://171.83.103.119:9999/rtp/239.69.2.28:11322
苏州-4K,https://tylive.kan0512.com/norecord/csztv4k_4k.m3u8
