🕘️更新时间,#genre#
CCTV-7,http://www.lnlee.top:65535/udp/239.81.0.116:4056
CCTV-7,http://106.53.99.30/tv/api.php?id=cctv7
CCTV-7,http://bxtv.3a.ink/migu.php?id=cctv7
CCTV-7,http://bxtv.3a.ink/migu.php?id=673168121
CCTV-7,http://cloud.diskcloud.cn:4022/rtp/239.45.3.56:5140
CCTV-7,http://112.6.239.227:8207/hls/8/index.m3u8
CCTV-7,http://106.53.99.30/tv/migu.php?id=cctv7
CCTV-7,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225733
CCTV-7,http://goo.bkpcp.top/mg/CCTV7
CCTV-8,http://38.75.136.137:98/gslb/dsdqpub/cctv8hd.m3u8?auth=testpub
CCTV-8,http://221.13.235.63:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://bxtv.3a.ink/migu.php?id=624878356
CCTV-8,https://hyf.serv00.net/蜀小果.php?id=cctv8
CCTV-8,http://www.lnlee.top:65535/udp/239.81.0.234:4056
CCTV-8,http://bxtv.3a.ink/migu.php?id=cctv8
CCTV-8,http://cloud.diskcloud.cn:4022/rtp/239.45.1.71:5140
CCTV-8,http://112.6.239.227:8207/hls/9/index.m3u8
CCTV-8,http://106.53.99.30/tv/migu.php?id=cctv8
CCTV-8,http://116.128.242.83:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226008
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://38.75.136.137:98/gslb/dsdqpub/cctv9hd.m3u8?auth=testpub
CCTV-9,http://bxtv.3a.ink/migu.php?id=cctv9
CCTV-9,http://bxtv.3a.ink/migu.php?id=673168140
CCTV-9,https://hyf.serv00.net/蜀小果.php?id=cctv9
CCTV-9,http://www.lnlee.top:65535/udp/239.81.0.117:4056
CCTV-9,http://112.6.239.227:8207/hls/10/index.m3u8
CCTV-9,http://cloud.diskcloud.cn:4022/rtp/239.45.3.4:5140
CCTV-9,http://106.53.99.30/tv/migu.php?id=cctv9
CCTV-9,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225734
CCTV-9,https://live.chinacert.cftest5.cn/mg/?id=673168140
CCTV-10,http://bxtv.3a.ink/migu.php?id=cctv10
CCTV-10,http://bxtv.3a.ink/migu.php?id=624878405
CCTV-10,https://hyf.serv00.net/蜀小果.php?id=cctv10
CCTV-10,http://cloud.diskcloud.cn:4022/rtp/239.45.3.8:5140
CCTV-10,http://106.53.99.30/tv/migu.php?id=cctv10
CCTV-10,http://z.b.bkpcp.top/m.php?id=CCTV-10科教科教
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://106.53.99.30/tv/migu.php?id=cctv11
CCTV-11,http://bxtv.3a.ink/migu.php?id=667987558
CCTV-11,http://bxtv.3a.ink/migu.php?id=cctv11
CCTV-11,http://221.13.235.63:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://112.6.239.227:8207/hls/12/index.m3u8
CCTV-11,https://hyf.serv00.net/蜀小果.php?id=cctv11
CCTV-11,http://www.lnlee.top:65535/udp/239.81.0.229:4056
CCTV-11,http://php.jdshipin.com/TVOD/hljyd.php?id=3221226565
CCTV-11,https://live.chinacert.cftest5.cn/mg/?id=667987558
CCTV-12,http://bxtv.3a.ink/migu.php?id=673168185
CCTV-12,http://bxtv.3a.ink/migu.php?id=cctv12
CCTV-12,http://221.13.235.63:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,https://hyf.serv00.net/蜀小果.php?id=cctv12
CCTV-12,http://www.lnlee.top:65535/udp/239.81.0.119:4056
CCTV-12,http://112.6.239.227:8207/hls/13/index.m3u8
CCTV-12,http://cloud.diskcloud.cn:4022/rtp/239.45.3.10:5140
CCTV-12,http://106.53.99.30/tv/migu.php?id=cctv12
CCTV-12,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225731
CCTV-12,http://z.b.bkpcp.top/m.php?id=CCTV-12社会与法社会与法
CCTV-13,http://mytv6688.xyz:528/douyin/uid/cctvnews
CCTV-13,http://38.75.136.137:98/gslb/dsdqpub/cctv13hd.m3u8?auth=testpub
CCTV-13,http://106.53.99.30/tv/api.php?id=cctv13
CCTV-13,http://bxtv.3a.ink/migu.php?id=608807423
CCTV-13,http://221.13.235.63:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://bxtv.3a.ink/migu.php?id=cctv13
CCTV-13,https://hyf.serv00.net/蜀小果.php?id=cctv13
CCTV-13,http://112.6.239.227:8207/hls/14/index.m3u8
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV-13,http://iptv.4666888.xyz/iptv2A.php?id=11
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-13,http://z.b.bkpcp.top/m.php?id=cctv13
CCTV-14,http://bxtv.3a.ink/migu.php?id=cctv14
CCTV-14,http://bxtv.3a.ink/migu.php?id=624878440
CCTV-14,https://hyf.serv00.net/蜀小果.php?id=cctv14
CCTV-14,http://iptv.4666888.xyz/iptv2A.php?id=12
CCTV-14,http://cloud.diskcloud.cn:4022/rtp/239.45.3.23:5140
CCTV-14,http://171.15.18.199:8180/TV00000000000000000014@HHZT
CCTV-14,http://106.53.99.30/tv/migu.php?id=cctv14
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&accounttype=1&limitflux=-1&limitdur=-1&accountinfo=:20240213104135
CCTV-14,http://php.jdshipin.com/TVOD/hljyd.php?id=3221225732
CCTV-15,http://221.13.235.63:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
